作品ID	作品名	姓	名	文字遣い種別	分類番号	テキストファイルURL	順位スコア
000002	三十三の死	素木	しづ	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000012/files/2_ruby_20958.zip	0
000005	あいびき	ツルゲーネフ	イワン	新字新仮名	NDC 983	https://www.aozora.gr.jp/cards/000005/files/5_ruby_21311.zip	17940
000007	赤蛙	島木	健作	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000008/files/7_ruby_20893.zip	0
000009	暁と夕の詩	立原	道造	新字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/000011/files/9_ruby_20330.zip	1193
000010	秋は淋しい	素木	しづ	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000012/files/10_ruby_20387.zip	0
000011	秋の瞳	八木	重吉	新字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/000013/files/11_ruby_20061.zip	288
000012	悪魔の舌	村山	槐多	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000014/files/12_ruby_22756.zip	4004
000014	あばばばば	芥川	竜之介	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000879/files/14_ruby_1261.zip	58927
000016	秋	芥川	竜之介	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000879/files/16_ruby_344.zip	49367
000019	或阿呆の一生	芥川	竜之介	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000879/files/19_ruby_306.zip	63442
000042	鼻	芥川	竜之介	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000879/files/42_ruby_154.zip	64163
000055	芋粥	芥川	竜之介	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000879/files/55_ruby_1843.zip	56984
000060	地獄変	芥川	竜之介	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000879/files/60_ruby_821.zip	59846
000069	河童	芥川	竜之介	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000879/files/69_ruby_1321.zip	61395
000092	蜘蛛の糸	芥川	竜之介	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000879/files/92_ruby_164.zip	68367
000100	桃太郎	芥川	竜之介	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000879/files/100_ruby_1154.zip	41330
