作品ID	作品名	姓	名	文字遣い種別	分類番号	テキストファイルURL
000002	三十三の死	素木	しづ	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000012/files/2_ruby_20958.zip
000005	あいびき	ツルゲーネフ	イワン	新字新仮名	NDC 983	https://www.aozora.gr.jp/cards/000005/files/5_ruby_21311.zip
000007	赤蛙	島木	健作	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000008/files/7_ruby_20893.zip
000009	暁と夕の詩	立原	道造	新字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/000011/files/9_ruby_20330.zip
000010	秋は淋しい	素木	しづ	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000012/files/10_ruby_20387.zip
000011	秋の瞳	八木	重吉	新字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/000013/files/11_ruby_20061.zip
000012	悪魔の舌	村山	槐多	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000014/files/12_ruby_22756.zip
000013	十本の針	芥川	竜之介	新字新仮名	NDC 917	https://www.aozora.gr.jp/cards/000879/files/13_ruby_1960.zip
000014	あばばばば	芥川	竜之介	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000879/files/14_ruby_1261.zip
000015	アグニの神	芥川	竜之介	新字旧仮名	NDC K913	https://www.aozora.gr.jp/cards/000879/files/15_ruby_904.zip
000016	秋	芥川	竜之介	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000879/files/16_ruby_344.zip
000017	あの頃の自分の事	芥川	竜之介	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000879/files/17_ruby_377.zip
000018	闇中問答	芥川	竜之介	新字旧仮名	NDC 913 914	https://www.aozora.gr.jp/cards/000879/files/18_ruby_268.zip
000019	或阿呆の一生	芥川	竜之介	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000879/files/19_ruby_306.zip
000020	或旧友へ送る手記	芥川	竜之介	新字旧仮名	NDC 916	https://www.aozora.gr.jp/cards/000879/files/20_ruby_302.zip
000021	浅草公園	芥川	竜之介	新字新仮名	NDC 912	https://www.aozora.gr.jp/cards/000879/files/21_ruby_1427.zip
000022	羅生門の後に	芥川	竜之介	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000879/files/22_ruby_983.zip
000023	芭蕉雑記	芥川	竜之介	新字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/000879/files/23_ruby_1254.zip
000024	尾生の信	芥川	竜之介	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000879/files/24_ruby_877.zip
000025	文学好きの家庭から	芥川	竜之介	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000879/files/25_ruby_1213.zip
000026	文芸的な、余りに文芸的な	芥川	竜之介	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000879/files/26_ruby_1441.zip
000027	文章	芥川	竜之介	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000879/files/27_ruby_1126.zip
000028	舞踏会	芥川	竜之介	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000879/files/28_ruby_272.zip
000029	カルメン	芥川	竜之介	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000879/files/29_ruby_1382.zip
000193	尼	ウィード	グスターフ	新字旧仮名	NDC 949	https://www.aozora.gr.jp/cards/000017/files/193_ruby_22801.zip
000195	可哀相な姉	渡辺	温	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000020/files/195_ruby_26090.zip
000197	青い顔	三島	霜川	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000022/files/197_ruby_22597.zip
000198	青白き夢	素木	しづ	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000012/files/198_ruby_20962.zip
000199	あらくれ	徳田	秋声	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000023/files/199_ruby_4177.zip
000201	或る女	有島	武郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip
000202	或る女	有島	武郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000025/files/202_ruby_20065.zip
000203	僕の帽子のお話	有島	武郎	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000025/files/203_ruby_20491.zip
000204	カインの末裔	有島	武郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000025/files/204_ruby_3382.zip
000205	私の父と母	有島	武郎	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000025/files/205_ruby_20493.zip
000206	小さき者へ	有島	武郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000025/files/206_ruby_20462.zip
000207	二つの道	有島	武郎	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000025/files/207_ruby_385.zip
000208	片信	有島	武郎	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000025/files/208_ruby_20484.zip
000209	卑怯者	有島	武郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000025/files/209_ruby_20464.zip
000210	広津氏に答う	有島	武郎	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000025/files/210_ruby_20473.zip
000211	一房の葡萄	有島	武郎	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000025/files/211_ruby_20471.zip
000212	火事とポチ	有島	武郎	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000025/files/212_ruby_19526.zip
000213	小作人への告別	有島	武郎	新字新仮名	NDC 916	https://www.aozora.gr.jp/cards/000025/files/213_ruby_20456.zip
000214	水野仙子氏の作品について	有島	武郎	旧字旧仮名	NDC 910	https://www.aozora.gr.jp/cards/000025/files/214_txt_20495.zip
